id,name,team,position,price,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,points_per_game,selected_by_percent,transfers_in,transfers_out
76,Tóth.A,Bournemouth,MID,5.0,8,135,0,0,0,3,1,0,0,0,32,18.6,60.2,18.0,9.6,0.0,0.9,0.0,0,0
77,Adli,Bournemouth,MID,5.0,67,1074,3,2,3,17,2,0,0,4,241,272.6,235.9,260.0,76.1,0.0,2.2,0.2,0,0
78,Kroupi.Jr,Bournemouth,MID,7.5,113,1663,13,0,10,21,5,0,0,13,480,532.2,306.9,563.0,139.9,0.0,3.4,8.9,0,0
79,Evanilson,Bournemouth,FWD,6.0,115,2741,6,7,11,40,2,0,0,6,412,350.6,397.9,809.0,155.5,0.0,3.2,1.9,0,0
80,Enes Ünal,Bournemouth,FWD,5.5,27,214,1,0,0,3,1,0,0,1,83,70.2,25.0,104.0,19.1,0.0,1.2,0.2,0,0
81,Rodríguez,Bournemouth,FWD,6.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0
82,Kelleher,Brentford,GKP,5.0,143,3330,0,0,10,49,1,0,109,11,570,913.8,23.0,0.0,93.8,0.0,3.9,5.5,0,0
83,Valdimarsson,Brentford,GKP,4.5,1,90,0,0,0,3,0,0,1,0,1,13.0,0.0,0.0,1.3,0.0,1.0,0.1,0,0
84,Collins,Brentford,DEF,5.5,129,2971,1,2,9,44,7,0,0,7,450,848.6,143.8,325.0,131.9,0.0,3.7,2.0,0,0
85,Van den Berg,Brentford,DEF,5.0,113,2761,0,3,8,41,2,0,0,3,435,659.0,98.0,305.0,106.3,0.0,3.5,0.7,0,0
86,Lewis-Potter,Brentford,MID,5.5,115,1960,3,4,9,32,1,0,0,5,356,378.2,332.2,353.0,106.4,0.0,3.2,0.5,0,0
87,Ajer,Brentford,DEF,4.5,76,1805,0,2,5,32,4,0,0,1,211,401.4,59.1,165.0,62.7,0.0,2.8,0.7,0,0
88,Kayode,Brentford,DEF,4.5,113,3258,1,2,10,49,8,0,0,9,494,613.8,470.2,130.0,121.7,0.0,3.1,4.4,0,0
89,Henry,Brentford,DEF,4.5,52,1322,0,2,4,22,2,0,0,0,144,151.6,82.0,35.0,26.9,0.0,2.1,0.2,0,0
90,Hickey,Brentford,DEF,4.5,37,679,0,0,2,9,1,0,0,0,105,101.4,17.1,43.0,16.0,0.0,1.8,0.1,0,0
91,Pinnock,Brentford,DEF,4.5,14,318,0,0,1,5,1,0,0,2,53,88.6,1.2,33.0,12.3,0.0,3.5,0.1,0,0
92,Ji-soo,Brentford,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
93,Schuster,Brentford,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
94,Schade,Brentford,MID,6.0,125,2744,8,5,11,34,6,1,0,5,385,536.8,380.1,821.0,172.8,0.0,3.6,2.4,0,0
95,O.Dango,Brentford,MID,6.5,136,2271,7,8,6,35,5,0,0,16,429,509.8,422.8,702.0,162.8,0.0,4.2,1.3,0,0
96,Damsgaard,Brentford,MID,5.5,113,2046,4,4,5,32,0,0,0,9,467,530.6,691.3,326.0,155.0,0.0,3.4,0.7,0,0
97,Jensen,Brentford,MID,5.5,98,2239,3,2,9,33,3,0,0,1,465,435.6,632.7,201.0,126.9,0.0,2.7,0.1,0,0
98,Janelt,Brentford,MID,5.0,74,1434,1,4,5,21,8,0,0,6,334,350.4,351.8,97.0,79.0,0.0,3.0,0.1,0,0
99,Milambo,Brentford,MID,5.0,1,45,0,0,0,3,0,0,0,0,5,4.0,1.8,0.0,0.6,0.0,1.0,0.0,0,0
100,Carvalho,Brentford,MID,5.0,13,100,1,0,0,4,0,0,0,1,42,39.0,6.5,36.0,8.1,0.0,2.2,0.0,0,0
101,Henderson,Brentford,MID,5.0,76,1911,1,3,6,28,6,0,0,5,343,336.6,358.3,49.0,74.4,0.0,2.4,0.1,0,0
102,Yarmoliuk,Brentford,MID,5.0,104,2652,1,3,8,42,7,0,0,1,448,445.0,273.0,117.0,83.4,0.0,2.8,1.6,0,0
103,Dasilva,Brentford,MID,5.0,2,2,0,0,0,0,0,0,0,0,5,0.4,11.3,4.0,1.6,0.0,1.0,0.0,0,0
105,Anthony,Brentford,MID,6.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0
106,Thiago,Brentford,FWD,8.0,181,3282,22,1,10,50,7,0,0,22,710,1019.4,382.5,1170.0,256.9,0.0,4.8,15.9,0,0
107,Furo,Brentford,FWD,4.5,1,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0,0
108,Wilson,Brentford,FWD,5.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0
109,Verbruggen,Brighton,GKP,4.5,130,3420,0,0,10,46,3,0,106,6,616,935.0,10.0,0.0,94.7,0.0,3.4,16.7,0,0
110,Rushworth,Brighton,GKP,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,0
111,Steele,Brighton,GKP,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0
113,F.Kadıoğlu,Brighton,DEF,4.5,118,3130,1,2,10,41,6,0,0,7,514,505.0,444.8,284.0,123.7,0.0,3.2,3.1,0,0
114,Boscagli,Brighton,DEF,4.5,39,799,0,1,3,10,2,0,0,4,171,215.6,82.2,12.0,31.1,0.0,3.2,0.1,0,0
115,De Cuyper,Brighton,DEF,4.5,84,1404,2,3,5,23,2,0,0,9,318,327.8,516.6,154.0,99.9,0.0,2.8,1.6,0,0
116,Dunk,Brighton,DEF,4.5,100,2837,1,1,7,40,10,0,0,5,443,649.6,125.5,210.0,98.7,0.0,3.0,0.7,0,0
117,Coppola,Brighton,DEF,4.5,10,193,0,0,1,3,2,0,0,0,32,42.4,3.7,2.0,4.8,0.0,2.0,0.0,0,0
118,Igor,Brighton,DEF,4.5,6,103,0,0,0,3,0,0,0,0,10,25.8,10.6,0.0,3.6,0.0,1.5,0.1,0,0
119,Costinha,Brighton,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
120,Svoboda,Brighton,DEF,5.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
121,Mitoma,Brighton,MID,6.0,62,1714,3,1,5,20,5,0,0,2,247,288.4,422.3,416.0,112.3,0.0,2.5,0.3,0,0
122,Minteh,Brighton,MID,6.0,117,2389,3,8,11,33,3,0,0,9,466,491.8,691.4,617.0,180.3,0.0,3.4,0.7,0,0
123,Hinshelwood,Brighton,MID,6.0,91,1736,4,5,7,23,0,0,0,2,317,312.6,228.0,412.0,94.8,0.0,3.4,0.3,0,0
124,Groß,Brighton,MID,5.5,78,1636,1,6,6,17,2,0,0,10,389,397.2,668.2,220.0,128.5,0.0,4.1,4.3,0,0
125,Georginio,Brighton,FWD,5.5,87,1776,3,5,7,20,2,0,0,2,290,338.6,349.5,448.0,113.5,0.0,2.7,0.8,0,0
126,O'Riley,Brighton,MID,5.5,16,202,1,0,1,3,0,0,0,2,48,65.4,67.7,63.0,19.6,0.0,2.7,0.1,0,0
127,Gomez,Brighton,MID,5.0,97,2117,5,1,8,29,9,0,0,9,361,438.2,319.7,432.0,119.0,0.0,3.0,2.0,0,0
128,Buonanotte,Brighton,MID,5.0,3,81,0,0,0,4,1,0,0,0,9,13.2,40.0,21.0,7.4,0.0,0.8,0.1,0,0
129,Ayari,Brighton,MID,5.5,98,1921,3,4,6,24,1,0,0,7,406,359.8,251.3,231.0,84.5,0.0,3.4,0.6,0,0
130,Wieffer,Brighton,DEF,5.0,94,1901,2,4,6,26,8,0,0,6,398,477.0,291.1,209.0,97.7,0.0,3.6,0.3,0,0
131,Baleba,Brighton,MID,5.0,56,1646,0,0,7,19,5,0,0,0,231,166.8,156.3,44.0,36.8,0.0,1.8,0.6,0,0
132,Howell,Brighton,MID,4.5,4,92,0,0,0,2,0,0,0,0,11,10.2,5.1,2.0,1.8,0.0,1.3,0.3,0,0
133,Watson,Brighton,MID,5.0,5,57,0,0,0,2,1,0,0,0,15,6.0,2.4,7.0,1.6,0.0,0.8,0.0,0,0
134,Oriola,Brighton,MID,4.5,1,1,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0,0
135,Yohanna,Brighton,MID,5.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
136,Welbeck,Brighton,FWD,6.0,126,2249,13,1,10,28,5,0,0,18,511,578.8,309.7,803.0,168.2,0.0,3.4,2.9,0,0
137,Tzimas,Brighton,FWD,5.5,16,132,1,1,0,2,0,0,0,0,55,66.6,65.7,44.0,17.7,0.0,1.8,0.1,0,0
138,Kostoulas,Brighton,FWD,5.5,35,351,2,1,1,9,2,0,0,3,140,143.6,126.5,255.0,52.4,0.0,1.7,0.3,0,0
139,Ferguson,Brighton,FWD,5.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
328,Struijk,Brighton,DEF,5.0,108,2935,0,1,7,48,5,0,0,4,412,697.4,161.5,272.0,113.1,0.0,3.2,0.5,0,0
504,Vuskovic,Brighton,DEF,5.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0,0
40,Rogers,Chelsea,MID,7.5,169,3280,10,8,9,48,7,0,0,17,605,746.2,706.2,871.0,232.0,0.0,4.6,32.3,0,0
140,Sánchez,Chelsea,GKP,5.0,113,3040,0,1,9,49,3,1,98,7,509,822.2,50.0,0.0,86.7,0.0,3.2,2.0,0,0
141,Jörgensen,Chelsea,GKP,5.0,9,378,0,0,0,5,0,0,8,0,50,79.8,0.0,0.0,7.9,0.0,1.8,0.1,0,0
142,James,Chelsea,DEF,5.5,115,1957,2,6,8,20,4,0,0,11,493,459.0,483.7,116.0,106.1,0.0,4.0,8.1,0,0
143,Chalobah,Chelsea,DEF,5.5,136,2780,3,1,9,40,3,1,0,7,516,719.2,111.2,160.0,99.1,0.0,4.0,2.1,0,0
144,Gusto,Chelsea,DEF,5.0,96,2255,2,3,7,36,3,1,0,7,406,443.6,448.5,205.0,109.8,0.0,2.8,1.2,0,0
145,Fofana,Chelsea,DEF,5.0,65,1718,0,2,4,25,5,2,0,3,288,463.6,65.6,74.0,60.4,0.0,2.6,0.0,0,0
146,B.Badiashile,Chelsea,DEF,4.5,7,470,0,0,0,10,2,0,0,0,48,102.8,7.9,2.0,11.4,0.0,0.9,0.0,0,0
147,Tosin,Chelsea,DEF,4.5,34,788,0,0,2,14,2,0,0,2,130,240.4,33.3,19.0,29.3,0.0,2.1,0.1,0,0
148,Hato,Chelsea,DEF,4.5,19,1139,0,0,0,27,7,0,0,0,93,233.2,114.9,36.0,38.4,0.0,0.9,1.4,0,0
149,Colwill,Chelsea,DEF,5.0,8,225,0,0,0,4,0,0,0,0,30,66.0,7.6,6.0,8.0,0.0,2.7,2.0,0,0
150,M.Sarr,Chelsea,DEF,4.5,3,100,0,0,0,3,0,0,0,0,4,6.4,0.1,7.0,1.3,0.0,1.0,0.1,0,0
151,Acheampong,Chelsea,DEF,4.5,39,657,1,0,2,13,1,0,0,5,118,132.6,40.9,70.0,24.4,0.0,2.3,0.2,0,0
152,Palestra,Chelsea,DEF,5.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0
153,Disasi,Chelsea,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
154,Palmer,Chelsea,MID,9.5,114,1954,10,2,3,33,5,0,0,11,430,536.6,393.6,547.0,147.7,0.0,4.4,13.2,0,0
155,Enzo,Chelsea,MID,7.0,157,3114,10,5,8,46,10,0,0,19,700,835.6,1063.2,747.0,264.6,0.0,4.4,5.3,0,0
156,Neto,Chelsea,MID,6.5,125,2629,5,7,11,33,2,1,0,9,543,523.0,836.2,505.0,186.7,0.0,3.7,1.2,0,0
157,Estêvão,Chelsea,MID,6.5,58,839,2,5,4,11,4,0,0,4,172,183.4,230.9,314.0,72.6,0.0,2.6,1.5,0,0
158,Gittens,Chelsea,MID,6.0,25,486,0,2,1,7,0,0,0,0,99,93.0,130.4,91.0,31.3,0.0,1.6,0.1,0,0
159,Caicedo,Chelsea,MID,5.5,110,2796,3,1,6,47,11,1,0,10,580,562.4,403.1,128.0,109.2,0.0,3.3,3.9,0,0
161,Lavia,Chelsea,MID,5.0,13,374,0,0,0,10,0,0,0,0,81,34.4,46.6,14.0,9.5,0.0,1.1,0.0,0,0
163,D.Essugo,Chelsea,MID,4.5,1,26,0,0,0,1,2,0,0,0,7,11.4,2.1,2.0,1.6,0.0,0.3,0.2,0,0
164,Quenda,Chelsea,MID,5.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
165,João Pedro,Chelsea,FWD,7.5,177,2658,15,9,10,36,5,0,0,30,715,758.4,456.6,909.0,212.1,0.0,5.1,54.2,0,0
166,N.Jackson,Chelsea,FWD,6.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0
167,Delap,Chelsea,FWD,5.5,45,1092,1,2,2,18,4,0,0,1,123,67.8,73.7,349.0,47.3,0.0,1.6,0.5,0,0
168,Marc Guiu,Chelsea,FWD,5.0,13,265,0,1,0,3,1,0,0,0,19,24.6,40.1,86.0,13.1,0.0,1.3,0.5,0,0
169,Mheuka,Chelsea,FWD,4.5,1,1,0,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.2,0.0,1.0,0.4,0,0
170,Emegha,Chelsea,FWD,5.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0
200,Lacroix,Chelsea,DEF,6.0,154,3085,1,2,11,47,4,1,0,11,529,822.0,106.4,316.0,124.3,0.0,4.4,12.0,0,0
560,Penders,Chelsea,GKP,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
561,Anselmino,Chelsea,DEF,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
104,Onyeka,Coventry City,MID,5.0,12,88,0,2,0,2,0,0,0,0,41,28.4,13.6,4.0,4.6,0.0,2.0,0.2,0,0
171,Dovin,Coventry City,GKP,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0,0
172,Wilson,Coventry City,GKP,4.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0
173,Thomas,Coventry City,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0,0
174,Kitching,Coventry City,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0
175,van Ewijk,Coventry City,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,0,0
176,Dasilva,Coventry City,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0
177,Kesler-Hayden,Coventry City,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
178,Bidwell,Coventry City,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
179,Latibeaudiere,Coventry City,DEF,4.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0
